Timestamp,City,Location,Latitude,Longitude,Road Type,Weather,Rain (mm),Temperature (C),Visibility (km),Hour of Day,Day of Week,Is Weekend,Is Peak Hour,Peak Type,Vehicle Count,Two-Wheelers (%),Cars (%),Heavy Vehicles (%),Avg Speed (km/h),Public Transport Density,Congestion Score (0-100),Congestion Level,Accident,Event Nearby
2025-05-21 07:14:00,Mumbai,Bandra,19.110563,72.909912,Arterial,Cloudy,0.0,37.6,8.1,7,Wednesday,False,False,None,86,43.1,49.6,7.3,42.7,35,31,Low,No,Yes
2025-08-18 18:17:00,Kolkata,Dum Dum,22.621741,88.400657,Highway,Rain,8.4,27.3,5.0,18,Monday,False,True,Evening,410,50.4,33.1,16.5,8.5,172,100,Very High,Yes,No
2025-07-13 02:35:00,Jaipur,Malviya Nagar,26.965858,75.733325,Residential,Rain,15.3,37.0,7.7,2,Sunday,True,False,None,36,36.4,56.4,7.2,20.7,14,70,High,Yes,Yes
2025-12-10 08:44:00,Pune,Baner,18.477048,73.781836,Highway,Cloudy,0.0,34.0,5.0,8,Wednesday,False,True,Morning,383,50.3,24.4,25.3,19.2,174,100,Very High,No,No
2025-05-18 02:13:00,Pune,Swargate,18.533934,73.920352,Residential,Clear,0.0,37.5,7.0,2,Sunday,True,False,None,25,41.8,54.7,3.5,61.5,8,2,Low,No,No
2025-04-23 04:32:00,Kolkata,New Town,22.581116,88.434689,Commercial,Clear,0.0,20.4,4.3,4,Wednesday,False,False,None,25,39.0,50.0,11.0,25.8,8,53,Medium,Yes,No
2025-10-02 08:49:00,Mumbai,Lower Parel,19.020454,72.919702,Residential,Clear,0.0,28.0,6.6,8,Thursday,False,True,Morning,564,44.2,52.0,3.8,16.9,237,100,Very High,Yes,Yes
2025-09-29 00:38:00,Jaipur,Raja Park,26.954934,75.727843,Residential,Clear,0.0,26.0,4.7,0,Monday,False,False,None,37,27.1,68.0,4.9,24.1,16,57,Medium,Yes,Yes
2025-03-26 08:33:00,Ahmedabad,Naroda,22.952744,72.494765,Commercial,Fog,0.0,34.6,1.3,8,Wednesday,False,True,Morning,459,38.5,47.5,14.0,18.0,160,100,Very High,No,No
2025-10-29 07:00:00,Jaipur,Mansarovar,26.982082,75.798667,Highway,Cloudy,0.0,19.5,4.4,7,Wednesday,False,False,None,75,31.4,43.5,25.0,50.8,24,21,Low,No,Yes
2025-08-31 13:12:00,Ahmedabad,Satellite,22.973154,72.577206,Highway,Clear,0.0,27.3,6.6,13,Sunday,True,False,None,225,49.0,25.1,25.9,21.0,72,91,Very High,Yes,Yes
2025-04-04 08:29:00,Bangalore,Marathahalli,12.955766,77.523982,Arterial,Rain,21.7,35.8,4.5,8,Friday,False,True,Morning,487,39.6,53.8,6.7,7.7,166,100,Very High,No,Yes
2025-07-19 08:59:00,Kolkata,Park Street,22.610318,88.293653,Commercial,Clear,0.0,34.1,8.2,8,Saturday,True,True,Morning,584,31.5,61.6,6.9,23.2,182,100,Very High,No,No
2025-01-26 18:30:00,Pune,Shivajinagar,18.54558,73.867136,Arterial,Clear,0.0,36.7,7.0,18,Sunday,True,True,Evening,429,26.2,63.0,10.8,21.9,135,100,Very High,No,Yes
